ukl_ft_navd88,ukl_ft_usbrkb,tot_cap_taf,act_cap_taf,inund_area_ac
4143.27,4141.26,656.802,389.499,"88,767"
4143.28,4141.27,657.690,390.386,"88,788"
4143.29,4141.28,658.578,391.274,"88,810"
4143.30,4141.29,659.466,392.163,"88,830"
4143.31,4141.30,660.355,393.051,"88,851"
4143.32,4141.31,661.243,393.940,"88,872"
4143.33,4141.32,662.132,394.828,"88,892"
4143.34,4141.33,663.021,395.718,"88,912"
4143.35,4141.34,663.910,396.607,"88,931"
4143.36,4141.35,664.800,397.496,"88,951"
4143.37,4141.36,665.689,398.386,"88,970"
4143.38,4141.37,666.579,399.276,"88,989"
4143.39,4141.38,667.469,400.166,"89,007"
4143.40,4141.39,668.359,401.056,"89,026"
4143.41,4141.40,669.250,401.946,"89,044"
4143.42,4141.41,670.140,402.837,"89,062"
4143.43,4141.42,671.031,403.727,"89,080"
4143.44,4141.43,671.922,404.618,"89,098"
4143.45,4141.44,672.813,405.509,"89,115"
4143.46,4141.45,673.704,406.400,"89,133"
4143.47,4141.46,674.596,407.292,"89,150"
4143.48,4141.47,675.487,408.183,"89,167"
4143.49,4141.48,676.379,409.075,"89,184"
4143.50,4141.49,677.271,409.967,"89,201"
4143.51,4141.50,678.163,410.859,"89,217"
4143.52,4141.51,679.055,411.752,"89,234"
4143.53,4141.52,679.948,412.644,"89,250"
4143.54,4141.53,680.840,413.537,"89,267"
4143.55,4141.54,681.733,414.429,"89,283"
4143.56,4141.55,682.626,415.322,"89,299"
4143.57,4141.56,683.519,416.215,"89,314"
4143.58,4141.57,684.412,417.108,"89,330"
4143.59,4141.58,685.306,418.002,"89,346"
4143.60,4141.59,686.199,418.895,"89,361"
4143.61,4141.60,687.093,419.789,"89,377"
4143.62,4141.61,687.987,420.683,"89,392"
4143.63,4141.62,688.881,421.577,"89,407"
4143.64,4141.63,689.775,422.471,"89,422"
4143.65,4141.64,690.669,423.365,"89,437"
4143.66,4141.65,691.564,424.260,"89,452"
4143.67,4141.66,692.458,425.154,"89,467"
4143.68,4141.67,693.353,426.049,"89,481"
4143.69,4141.68,694.248,426.944,"89,496"
4143.70,4141.69,695.143,427.839,"89,510"
4143.71,4141.70,696.038,428.734,"89,525"
4143.72,4141.71,696.933,429.630,"89,539"
